"","SimUID","Field2","Field3","Field4","Field5","Field6","OID_1","Field1_1","concatenat","x","y","SG2020_mean","GCAM_mean","HWSD_mean","FAO_mean","SG2017_mean","minSC_mean","maxSC_mean","mean_mean","rangeSC_mean"
"144",529,"USA","CR208094","Alti1_0","Slp1_0","Soil1_Sandy",81765,"LU04193","USACR208094Slp1_0",-76.0694862375,43.319391207,65.0067749023438,67.7685165405273,94.540168762207,111.876983642578,177.287094116211,65.0067749023438,177.287094116211,103.295907592773,112.280319213867
"145",544,"Canada","CR209091","Alti1_0","Slp1_0","Soil1_Sandy",76181,"LU04014","CanadaCR209091Slp1_0",-75.8437920394,44.6561960728,10.2297983169556,NA,NA,78.0122756958008,148.960845947266,NA,NA,NA,NA
"146",545,"Canada","CR209092","Alti1_0","Slp1_0","Soil1_Sandy",76182,"LU04014","CanadaCR209092Slp1_0",-75.9167085707,44.4582795414,0,NA,NA,NA,NA,NA,NA,NA,NA
"147",546,"USA","CR209092","Alti1_0","Slp1_0","Soil1_Sandy",76183,"LU04014","USACR209092Slp1_0",-75.5833750704,44.041613041,63.1195678710938,63.1125106811523,81.6265258789062,72.1915130615234,147.021240234375,63.1125106811523,147.021240234375,85.4142715454102,83.9087295532227
"148",547,"USA","CR209093","Alti1_0","Slp1_0","Soil1_Sandy",81802,"LU04194","USACR209093Slp1_0",-75.6458750705,43.8332797908,63.4726867675781,66.6301879882812,99.7817153930664,73.1908340454102,145.642669677734,63.4726867675781,145.642669677734,89.7436187744141,82.1699829101562
"149",548,"USA","CR209094","Alti1_0","Slp1_0","Soil1_Sandy",81803,"LU04194","USACR209094Slp1_0",-75.7708752581,43.3280717747,66.6959991455078,68.229362487793,99.5250244140625,104.319137573242,172.209014892578,66.6959991455078,172.209014892578,102.195707702637,105.51301574707
"150",562,"USA","CR210091","Alti1_0","Slp1_0","Soil1_Sandy",76186,"LU04014","USACR210091Slp1_0",-75.2639312368,44.6712421712,66.3779525756836,64.8937301635742,103.586967468262,115.140113830566,141.461013793945,64.8937301635742,141.461013793945,98.2919555664062,76.5672836303711
"151",563,"USA","CR210092","Alti1_0","Slp1_0","Soil1_Sandy",76187,"LU04014","USACR210092Slp1_0",-75.2865006678,44.2343210842,62.2074127197266,67.9271621704102,77.337516784668,100.81037902832,159.775573730469,62.2074127197266,159.775573730469,93.6116088867188,97.5681610107422
"152",564,"USA","CR210093","Alti1_0","Slp1_0","Soil1_Sandy",81804,"LU04194","USACR210093Slp1_0",-75.4107561927,43.8511367449,64.3797760009766,67.3733062744141,95.2853698730469,58.4643173217773,152.543792724609,58.4643173217773,152.543792724609,87.6093124389648,94.079475402832
"153",565,"USA","CR210094","Alti1_0","Slp1_0","Soil1_Sandy",81805,"LU04194","USACR210094Slp1_0",-75.4583750703,43.2916135403,54.6422729492188,66.2827301025391,103.501091003418,79.6021347045898,128.024658203125,54.6422729492188,128.024658203125,86.4105773925781,73.3823852539062
"154",566,"USA","CR211100","Alti1_0","Slp1_0","Soil1_Sandy",87947,"LU04374","USACR211100Slp1_0",-74.5417085694,40.0832815373,40.2591285705566,60.425178527832,74.8413848876953,55.8991508483887,107.365455627441,40.2591285705566,107.365455627441,67.7580596923828,67.1063270568848
"155",567,"USA","CR211101","Alti1_0","Slp1_0","Soil1_Sandy",93922,"LU04554","USACR211101Slp1_0",-74.7318129231,39.7265105897,37.5600280761719,63.8508262634277,77.7405242919922,56.4107513427734,126.079093933105,37.5600280761719,126.079093933105,72.3282447814941,88.5190658569336
"156",568,"USA","CR211102","Alti1_0","Slp1_0","Soil1_Sandy",93923,"LU04554","USACR211102Slp1_0",-74.7361530696,39.4305038701,34.9453353881836,64.0612182617188,72.0569610595703,59.6775512695312,105.022537231445,34.9453353881836,105.022537231445,67.1527206420898,70.0772018432617
"157",577,"USA","CR211091","Alti1_0","Slp1_0","Soil1_Sandy",76190,"LU04014","USACR211091Slp1_0",-74.7812919915,44.6874460729,60.7453422546387,66.8215789794922,97.5635375976562,106.052917480469,144.72639465332,60.7453422546387,144.72639465332,95.1819541931152,83.9810523986816
"158",578,"USA","CR212100","Alti1_0","Slp1_0","Soil1_Sandy",87948,"LU04374","USACR212100Slp1_0",-74.3542088817,40.1666145374,35.4285316467285,54.1981506347656,73.2952728271484,54.0131912231445,115.612091064453,35.4285316467285,115.612091064453,66.5094474792481,80.1835594177246
"159",579,"USA","CR212101","Alti1_0","Slp1_0","Soil1_Sandy",93924,"LU04554","USACR212101Slp1_0",-74.4129210858,39.7991906404,39.0448379516602,66.8476867675781,75.3535995483398,68.5478134155273,154.713073730469,39.0448379516602,154.713073730469,80.9014022827148,115.668235778809
"160",583,"USA","CR212091","Alti1_0","Slp1_0","Soil1_Sandy",76192,"LU04014","USACR212091Slp1_0",-74.2639311803,44.9119830789,60.7690315246582,65.1049652099609,96.2522964477539,125.407203674316,126.264366149902,60.7690315246582,126.264366149902,94.7595726013184,65.4953346252441
"161",584,"USA","CR212094","Alti1_0","Slp1_0","Soil1_Sandy",81806,"LU04194","USACR212094Slp1_0",-74.1528203468,43.1805024291,46.0478019714355,73.0323028564453,113.194190979004,112.360511779785,160.996963500977,46.0478019714355,160.996963500977,101.126354217529,114.949161529541
"162",591,"Canada","CR213090","Alti1_0","Slp1_0","Soil1_Sandy",76257,"LU04015","CanadaCR213090Slp1_0",-73.7917090687,45.0416125419,58.1298065185547,70.1183624267578,104.132194519043,91.4470291137695,135.211990356445,58.1298065185547,135.211990356445,91.8078765869141,77.0821838378906
"163",592,"USA","CR213091","Alti1_0","Slp1_0","Soil1_Sandy",76258,"LU04015","USACR213091Slp1_0",-73.6562926936,44.8645292918,55.7710876464844,67.9327850341797,102.590827941895,92.6189346313477,122.263900756836,55.7710876464844,122.263900756836,88.2355072021484,66.4928131103516
"164",593,"USA","CR213092","Alti1_0","Slp1_0","Soil1_Sandy",76259,"LU04015","USACR213092Slp1_0",-73.6250420686,44.3749457913,59.2128982543945,68.959342956543,113.86743927002,118.188217163086,133.039794921875,59.2128982543945,133.039794921875,98.6535385131836,73.8268966674805
